drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
pazopanib,Pazopanib,7.403462423942981,17.732657492160794,7.403462423942981,100,0.37985,0.023717,0.37985,0.023717,7.403462423942981,0.3154525497618568,0.0236586308563616,0.0550703460470933,0.146658541456706,0.37985,0.023717,17.732657492160794,unweighted_total_prob,0.146658541456706,67.0,250.0,10.0,1.0,-0.22845628871917723,-0.4553536634521484,6.9306553937494755,True
azacitidine,Azacitidine,6.764865323156116,15.41502101719379,6.764865323156116,100,0.370106,0.046894,0.370106,0.046894,6.764865323156116,0.2965562312859736,0.0606758513625314,0.0671460733358057,0.1563220477265631,0.370106,0.046894,15.41502101719379,unweighted_total_prob,0.1563220477265631,145.0,217.0,47.0,2.0,-0.23820028871917726,-0.4321766634521484,4.613018918782473,True
carboplatin,Carboplatin,4.729540380649267,11.685762662440537,4.729540380649267,100,0.370506,0.041891,0.370506,0.041891,4.729540380649267,0.2973319422250493,0.0526852937324512,0.1273931595464765,0.1654855262922955,0.370506,0.041891,11.685762662440537,unweighted_total_prob,0.1654855262922955,396.0,218.0,40.0,3.0,-0.23780028871917724,-0.43717966345214837,0.8837605640292185,True
paclitaxel,Paclitaxel,4.399031267967073,10.833579696714873,4.399031267967073,100,0.388553,0.018833,0.388553,0.018833,4.399031267967073,0.3323300805187955,0.0158581344611364,0.1424380086745292,0.1677628877268786,0.388553,0.018833,10.833579696714873,unweighted_total_prob,0.1677628877268786,503.0,292.0,6.0,4.0,-0.21975328871917726,-0.4602376634521484,0.031577598303554666,True
decitabine,Decitabine,6.617803243175147,15.065217219293114,6.617803243175147,100,0.386727,0.045329,0.386727,0.045329,6.617803243175147,0.328788960081915,0.0581763065512031,0.070257131164412,0.1688375328861297,0.386727,0.045329,15.065217219293114,unweighted_total_prob,0.1688375328861297,159.0,287.0,45.0,5.0,-0.22157928871917726,-0.4337416634521484,4.263215120881796,True
selexipag,Selexipag,7.935827756952492,16.750056542456147,7.935827756952492,100,0.342307,0.112,0.342307,0.112,7.935827756952492,0.2426462602975626,0.1646601098202564,0.0464888492854828,0.1722203179042242,0.342307,0.112,16.750056542456147,unweighted_total_prob,0.1722203179042242,94.0,119.0,160.0,6.0,-0.2659992887191773,-0.3670706634521484,5.948054444044828,True
temozolomide,Temozolomide,4.341134999366475,9.783625248819586,4.341134999366475,100,0.40076,0.013941,0.40076,0.013941,4.341134999366475,0.356002839102037,0.0080448608400387,0.145309256103895,0.1746809311976093,0.40076,0.013941,9.783625248819586,unweighted_total_prob,0.1746809311976093,618.0,364.0,2.0,7.0,-0.20754628871917724,-0.4651296634521484,-1.018376849591732,True
donepezil,Donepezil,2.28741914918646,5.42227627150714,2.28741914918646,100,0.278607,0.105474,0.278607,0.105474,2.28741914918646,0.1191142932497634,0.1542370878146791,0.3411809576918905,0.1775767439641551,0.278607,0.105474,5.42227627150714,unweighted_total_prob,0.1775767439641551,1340.0,11.0,143.0,8.0,-0.32969928871917725,-0.37359666345214837,-5.379725826904178,True
temsirolimus,Temsirolimus,8.70700207967311,20.163384333252903,8.70700207967311,100,0.425118,0.02407,0.425118,0.02407,8.70700207967311,0.4032397567370495,0.0242224259479903,0.0359189204102787,0.1781686571560717,0.425118,0.02407,20.163384333252903,unweighted_total_prob,0.1781686571560717,41.0,548.0,13.0,9.0,-0.18318828871917725,-0.4550006634521484,9.361382234841585,True
permethrin,Permethrin,2.1655014575924705,4.5439303200691885,2.1655014575924705,100,0.298169,0.076244,0.298169,0.076244,2.1655014575924705,0.1570504367252587,0.1075522987826498,0.364490990429125,0.1787392922889884,0.298169,0.076244,4.5439303200691885,unweighted_total_prob,0.1787392922889884,1483.0,26.0,93.0,10.0,-0.31013728871917723,-0.40282666345214835,-6.25807177834213,True
riboflavin,Riboflavin,2.685745807015335,5.196323907002801,2.685745807015335,100,0.297323,0.112374,0.297323,0.112374,2.685745807015335,0.1554098080891137,0.1652574451298006,0.2797751994035171,0.1842219411682691,0.297323,0.112374,5.196323907002801,unweighted_total_prob,0.1842219411682691,1387.0,25.0,161.0,11.0,-0.31098328871917724,-0.36669666345214835,-5.605678191408517,True
dacomitinib,Dacomitinib,6.530750305391846,16.76391607522964,6.530750305391846,100,0.417548,0.032568,0.417548,0.032568,6.530750305391846,0.3885594272150425,0.0377950341311646,0.0721647292906539,0.1849747303966136,0.417548,0.032568,16.76391607522964,unweighted_total_prob,0.1849747303966136,93.0,478.0,29.0,12.0,-0.19075828871917727,-0.4465026634521484,5.961913976818323,True
clofarabine,Clofarabine,5.223704015277325,11.78103573992848,5.223704015277325,100,0.355461,0.097489,0.355461,0.097489,5.223704015277325,0.2681555145290659,0.1414838192405856,0.1084499453821742,0.1855457225842954,0.355461,0.097489,11.78103573992848,unweighted_total_prob,0.1855457225842954,387.0,156.0,123.0,13.0,-0.2528452887191772,-0.3815816634521484,0.9790336415171623,True
malathion,Malathion,2.9490778058767297,6.287846006453033,2.9490778058767297,100,0.334952,0.081594,0.334952,0.081594,2.9490778058767297,0.228382875405309,0.1160970685849542,0.2482880834166556,0.1874495942794364,0.334952,0.081594,6.287846006453033,unweighted_total_prob,0.1874495942794364,1194.0,95.0,100.0,14.0,-0.2733542887191772,-0.3974766634521484,-4.514156091958285,True
vorinostat,Vorinostat,6.386183333862571,15.337428651750084,6.386183333862571,100,0.422504,0.034132,0.422504,0.034132,6.386183333862571,0.39817048575019,0.0402929817892588,0.0754475336942292,0.1904748937546254,0.422504,0.034132,15.337428651750084,unweighted_total_prob,0.1904748937546254,147.0,526.0,32.0,15.0,-0.18580228871917726,-0.4449386634521484,4.535426553338766,True
